"BenSampID"	"Bio_StationID"	"Entity"	"BioSta_Long"	"BioSta_Lat"	"AllIndiv"	"TotTaxaAll"	"TaxaRich120"	"InsctRich120"	"EPTRich120"	"pEPT"	"pNonIns"	"pWormy"	"ColdRich120"	"pCold"	"WarmRich120"	"pWarm"	"RBI"	"MeanAnnualFlow"	"January"	"February"	"March"	"April"	"May"	"June"	"July"	"August"	"September"	"October"	"November"	"December"	"X1daymin"	"X3daymin"	"X7daymin"	"X30daymin"	"X90daymin"	"X1daymax"	"X3daymax"	"X7daymax"	"X30daymax"	"X90daymax"	"Zerodays"	"Baseflow"	"Datemin"	"Datemax"	"Lopulse"	"LopulseL"	"Hipulse"	"HipulseL"	"Riserate"	"Fallrate"	"Reversals"	"Janlowf"	"Feblowf"	"Marlowf"	"Aprlowf"	"Maylowf"	"Junelowf"	"Julylowf"	"Auglowf"	"Septlowf"	"Octlowf"	"Novlowf"	"Declowf"	"Xlow1peak"	"Xlow1dur"	"Xlow1time"	"Xlow1freq"	"High1peak"	"High1dur"	"High1time"	"High1freq"	"High1rise"	"High1fall"	"pro_MeanAnnualFlow"	"pro_Winter"	"pro_Spring"	"pro_Summer"	"pro_Fall"	"pro_Index"	"pro_January"	"pro_February"	"pro_March"	"pro_April"	"pro_May"	"pro_June"	"pro_July"	"pro_August"	"pro_September"	"pro_October"	"pro_November"	"pro_December"	"pro_X1daymin"	"pro_X3daymin"	"pro_X7daymin"	"pro_X30daymin"	"pro_X90daymin"	"pro_X1daymax"	"pro_X3daymax"	"pro_X7daymax"	"pro_X30daymax"	"pro_X90daymax"	"pro_Datemin"	"pro_Datemax"	"pro_Riserate"	"pro_Fallrate"	"pro_Janlowf"	"pro_Feblowf"	"pro_Marlowf"	"pro_Aprlowf"	"pro_Maylowf"	"pro_Junelowf"	"pro_Julylowf"	"pro_Auglowf"	"pro_Septlowf"	"pro_Octlowf"	"pro_Novlowf"	"pro_Declowf"	"pro_Xlow1peak"	"pro_High1peak"	"pro_High1rise"	"pro_High1fall"	"pro_Baseflow"	"pro_AnnualCV"	"pro_Const_Predict"	"pro_FlowPredict"
"CTDEP_11845"	"CTDEP_476"	"CT DEP"	-71.98	41.60	221.00	30.00	19.00	15.00	10.00	62.89	8.59	3.16	0.00	0.45	10.00	40.72	0.16	1130.00	1880.00	696.00	2830.00	3685.00	1390.00	633.50	251.00	116.00	103.00	129.00	335.50	391.00	33.00	35.00	67.29	111.30	144.60	9970.00	9113.00	7134.00	4320.00	2940.00	0.00	0.05	252.00	108.00	11.00	7.00	5.00	6.00	80.00	-76.00	158.00	1250.00	696.00	868.00		1165.00	556.00	254.50	229.00	217.50	247.00	340.00	359.00	115.00	1.00	274.00	13.00	2225.00	6.00	149.00	6.00	494.80	-210.70	"0.81294964029"	"0.70475059382"	"1.3991150442"	"0.73002553812"	"0.31557582161"	"0.47619047619"	"1.46875"	"0.46868686869"	"1.4587628866"	"1.588362069"	"1"	"0.93643754619"	"0.69819193324"	"0.34678624813"	"0.35153583618"	"0.24431818182"	"0.34329274532"	"0.27058823529"	"0.31884057971"	"0.25325615051"	"0.37550223214"	"0.52155576382"	"0.44355828221"	"1.2636248416"	"1.3464834515"	"1.2163682864"	"1.08297819"	"1.1497849042"	"1.0120481928"	"1.2631578947"	"0.74418604651"	"0.82833787466"	"1.2919896641"	"0.56816326531"	"0.63823529412"	"NA"	"1.1011342155"	"1.0072463768"	"0.75184638109"	"0.68872180451"	"0.71428571429"	"0.50927835052"	"0.48433048433"	"0.35369458128"	"0.93495934959"	"0.98538529672"	"1.0436616748"	"0.98228438228"	"0.11"	"1"	"0.63"	"0.44"
"CTDEP_11846"	"CTDEP_622"	"CT DEP"	-72.11	41.55	207.00	29.00	20.00	18.00	13.00	87.92	2.41	0.00	1.00	2.41	4.00	16.90	0.40	145.00	249.00	66.00	288.00	355.50	120.00	40.00	19.00	10.00	9.75	32.00	34.00	51.00	7.20	7.30	7.34	9.30	17.75	3750.00	2097.00	1252.00	580.30	372.10	0.00	0.05	249.00	107.00	11.00	6.00	10.00	4.50	14.00	-6.00	108.00	126.50	66.00	87.00	197.00	85.00	31.50	19.50	17.00	17.50	32.00	34.00	48.00	9.70	9.00	234.00	4.00	341.00	6.00	157.00	9.00	101.00	-44.00	"0.82433200682"	"0.74770173647"	"1.3399438399"	"0.78632478632"	"0.43472022956"	"0.60784313725"	"1.4647058824"	"0.40490797546"	"1.4187192118"	"1.5709235528"	"0.85409252669"	"0.87431693989"	"0.97435897436"	"0.44444444444"	"0.44827586207"	"0.67368421053"	"0.32380952381"	"0.32587859425"	"1.014084507"	"0.97554456769"	"0.90330914012"	"0.72172226532"	"0.64079422383"	"1.7123287671"	"1.6421299922"	"1.2772903489"	"1.0379180826"	"1.0683318978"	"1.0573248408"	"1.5395683453"	"0.7"	"0.6"	"1.0924006908"	"0.57391304348"	"0.60416666667"	"1.4701492537"	"0.91891891892"	"0.70786516854"	"0.8125"	"0.69387755102"	"0.7"	"0.79012345679"	"0.45333333333"	"0.44036697248"	"1.0430107527"	"1.1686086361"	"0.99214145383"	"0.93716719915"	"0.05015"	"1.6"	"0.51"	"0.39"
"CTDEP_11868"	"CTDEP_289"	"CT DEP"	-72.84	41.45	205.00	21.00	16.00	13.00	6.00	60.97	28.78	0.48	0.00	0.00	5.00	17.07	0.29	228.10	282.00	137.00	343.00	483.00	230.00	166.00	118.00	82.00	54.50	67.00	74.50	87.00	49.00	49.00	49.57	56.97	72.37	3840.00	2790.00	1694.00	775.20	493.40	0.00	0.21	280.00	107.00	17.00	5.00	18.00	1.50	28.50	-13.00	118.00	194.00	135.00	203.50	262.00	183.00	136.50	98.00	82.50	70.50	76.00	74.50	84.00	53.00	11.50	274.50	4.00	328.00	3.00	157.00	15.00	104.50	-73.00	"0.94451345756"	"0.87316652286"	"1.4064997336"	"1.1980360065"	"0.57936742536"	"0.96584440228"	"1.4725848564"	"0.66343825666"	"1.3372319688"	"1.6524119056"	"1.1386138614"	"1.3227091633"	"1.2291666667"	"0.97619047619"	"0.65269461078"	"0.66336633663"	"0.4843953186"	"0.47933884298"	"0.93333333333"	"0.91298677101"	"0.89654548743"	"0.81038406828"	"0.74940457699"	"1.5578093306"	"1.6646778043"	"1.5372050817"	"1.2225201072"	"1.1509213902"	"1.145194274"	"1.0094339623"	"1.0088495575"	"1.0833333333"	"1.3108108108"	"0.72580645161"	"0.96674584323"	"1.2749391727"	"1"	"1.132780083"	"1.0343007916"	"0.94017094017"	"0.84431137725"	"0.8"	"0.6106557377"	"0.52830188679"	"1.0095238095"	"0.92655367232"	"0.82089552239"	"1.0612007559"	"0.2493"	"1.18"	"0.78"	"0.49"
"CTDEP_12057"	"CTDEP_1281"	"CT DEP"	-73.30	41.14	223.00	29.00	18.00	17.00	11.00	89.68	1.34	0.89	0.00	0.00	3.00	2.24	0.57	13.90	19.00	4.50	20.00	32.50	12.00	4.15	0.89	0.45	0.12	0.96	2.75	5.30	0.02	0.02	0.05	0.20	0.65	433.00	316.70	164.70	66.07	37.72	0.00	4.104e-03	253.00	107.00	11.00	7.00	14.00	3.00	1.90	-0.70	109.00	9.05	4.50	12.00	14.00	7.10	2.90	1.00	1.40	1.30	1.30	2.70	4.70	0.17	6.00	241.50	6.00	17.00	2.00	332.00	15.00	9.25	-4.62	"0.98302687412"	"0.82639885222"	"1.4494382022"	"0.70610932476"	"0.30019569472"	"0.34880952381"	"1.8357487923"	"0.36"	"1.2121212121"	"1.9117647059"	"1.0909090909"	"0.80193236715"	"0.65925925926"	"0.36"	"0.078125"	"0.26666666667"	"0.36303630363"	"0.44166666667"	"0.068965517241"	"0.077328471992"	"0.16595991868"	"0.27701694915"	"0.28786813187"	"2.3922651934"	"3.0161904762"	"2.3528571429"	"1.4867236724"	"1.3882959146"	"1.0743099788"	"0.97272727273"	"0.81720430108"	"0.7"	"1.1565495208"	"0.46511627907"	"1"	"1.1666666667"	"0.94039735099"	"0.725"	"0.66666666667"	"0.91803278689"	"0.78787878788"	"0.44827586207"	"0.52173913043"	"0.53561253561"	"0.546875"	"0.68686868687"	"0.82737030411"	"0.8759469697"	"0.02273"	"1.67"	"0.51"	"0.34"
"CTDEP_12074"	"CTDEP_923"	"CT DEP"	-72.90	41.42	234.00	33.00	21.00	18.00	10.00	65.38	7.69	0.00	1.00	1.70	2.00	2.99	0.42	45.10	67.00	25.00	62.00	111.00	48.00	28.00	12.00	8.40	4.25	4.90	8.05	12.00	3.20	3.33	3.41	4.19	7.20	1290.00	784.00	452.00	190.20	110.80	0.00	0.07	292.00	107.00	17.00	5.00	14.00	2.00	5.00	-3.00	117.00	38.00	24.00	43.00	53.00	37.00	21.50	12.00	8.60	6.20	7.30	8.05	9.90	3.45	7.00	272.50	6.00	70.00	3.00	85.00	15.00	23.00	-13.00	"0.91759918616"	"0.87211740042"	"1.3748055988"	"1.1282051282"	"0.41798298906"	"0.9197761194"	"1.7866666667"	"0.54644808743"	"1.1481481481"	"1.7549407115"	"1.1034482759"	"1.1914893617"	"1.0909090909"	"1"	"0.57432432432"	"0.42608695652"	"0.36179775281"	"0.33333333333"	"0.8"	"0.8095700753"	"0.75748835145"	"0.64676847139"	"0.67607879925"	"2.1009771987"	"1.9178082192"	"1.7546583851"	"1.3319327731"	"1.1120032116"	"1.1587301587"	"1.3128834356"	"0.71428571429"	"1"	"1.3818181818"	"0.67605633803"	"1"	"1.2470588235"	"1"	"1.0487804878"	"1.1650485437"	"1.0117647059"	"0.67759562842"	"0.66363636364"	"0.47352941176"	"0.35675675676"	"0.8961038961"	"0.875"	"0.74193548387"	"0.78407720145"	"0.0877"	"1.78"	"0.64"	"0.37"
"CTDEP_12084"	"CTDEP_307"	"CT DEP"	-73.54	41.06	182.00	22.00	14.00	11.00	4.00	84.06	2.74	0.54	0.00	0.00	1.00	1.09	0.50	52.40	83.00	20.50	77.00	118.00	32.00	13.50	5.60	3.60	1.90	11.00	14.00	17.00	0.86	0.88	0.95	2.56	4.48	2140.00	1360.00	739.30	271.60	141.30	0.00	0.01	274.00	107.00	13.00	6.00	10.00	2.50	4.60	-2.00	107.00	33.50	20.50	33.00	44.00	22.00	13.00	5.70	5.60	5.60	11.00	14.00	16.00	3.00	3.00	229.00	7.00	34.50	2.00	297.50	16.00	18.60	-9.65	"1.1960739557"	"1.4518072289"	"1.7734375"	"0.5746835443"	"0.65450121655"	"0.38144329897"	"2.9642857143"	"0.68333333333"	"1.6739130435"	"2.36"	"1"	"0.72972972973"	"0.50909090909"	"0.36"	"0.23456790123"	"1"	"0.63636363636"	"0.68"	"0.33076923077"	"0.33973076923"	"0.30968891769"	"0.61706730769"	"0.55861467547"	"4.1878669276"	"3.1576503367"	"2.7270379934"	"1.9207920792"	"1.5912162162"	"1.1369294606"	"0.93859649123"	"0.65714285714"	"0.5"	"1.4408602151"	"1"	"1.2692307692"	"1.7254901961"	"1"	"0.8125"	"0.57"	"0.61538461538"	"0.69135802469"	"1.2359550562"	"1"	"0.9014084507"	"1.0344827586"	"0.59482758621"	"0.83595505618"	"0.85473870682"	"0.08756"	"1.92"	"0.57"	"0.4"
"CTDEP_12089"	"CTDEP_2243"	"CT DEP"	-72.76	41.91	332.00	41.00	25.00	22.00	11.00	65.06	13.55	11.14	0.00	0.00	7.00	54.81	0.18	972.70	1150.00	501.00	1410.00	3110.00	913.00	772.00	561.00	374.00	216.00	303.00	444.50	433.00	181.00	186.70	194.30	239.70	307.90	15800.00	12830.00	8433.00	4105.00	2250.00	0.00	0.19	292.00	108.00	15.00	5.00	7.00	3.00	84.50	-36.50	99.00	1020.00	501.00	587.00		803.00	711.00	534.00	392.00	347.00	357.50	455.00	428.50	200.00	6.00	284.00	7.00	1600.00	3.00	75.00	11.00	407.00	-213.30	"0.84951965066"	"0.77362833172"	"1.2874407583"	"0.9107400096"	"0.50603991597"	"0.69884638737"	"1.4232673267"	"0.52915082383"	"1.0107526882"	"1.7873563218"	"0.84147465438"	"1.0015568241"	"1.0604914934"	"0.65100087032"	"0.39742410304"	"0.53345070423"	"0.56088328076"	"0.46112886049"	"0.7015503876"	"0.69742248786"	"0.67465277778"	"0.64906580016"	"0.60885900732"	"2.3032069971"	"2.1043135969"	"1.7772391992"	"1.338878017"	"1.064836725"	"1.1252408478"	"0.88163265306"	"0.85138539043"	"0.62931034483"	"1.387755102"	"0.66622340426"	"0.6394335512"	"NA"	"0.99504337051"	"1.07239819"	"0.99441340782"	"0.68233246301"	"0.6660268714"	"0.67478293696"	"0.65486470927"	"0.51595424443"	"0.7561436673"	"0.92592592593"	"0.87395318875"	"0.99301675978"	"0.2563"	"0.94"	"0.82"	"0.49"
"CTDEP_12115"	"CTDEP_432"	"CT DEP"	-73.41	41.16	181.00	30.00	21.00	18.00	10.00	84.53	2.76	0.00	0.00	0.00	3.00	3.31	0.44	62.20	96.00	20.00	92.00	146.50	49.00	22.00	7.70	7.00	3.45	12.00	18.00	28.00	3.20	3.20	3.28	4.01	6.51	2270.00	1372.00	786.00	295.40	160.30	0.00	0.05	251.00	107.00	8.00	3.00	10.00	4.50	6.75	-3.00	103.00	42.50	20.00	39.00	66.00	30.50	18.50	7.70	9.55	7.30	19.00	18.00	23.00	3.20	12.00	251.00	3.00	83.00	2.00	332.00	13.00	30.00	-12.14	"1.0411784399"	"1.030411449"	"1.4724711908"	"0.81374722838"	"0.61944444444"	"0.60299003322"	"2.2325581395"	"0.39800995025"	"1.3430656934"	"1.8603174603"	"1.0208333333"	"0.92631578947"	"0.66956521739"	"0.71065989848"	"0.39428571429"	"0.72727272727"	"0.62608695652"	"0.60215053763"	"0.88888888889"	"0.86090933549"	"0.83805151747"	"0.72672944585"	"0.61674550615"	"3.0634278003"	"2.9716265974"	"2.6653102747"	"1.6996547756"	"1.3771477663"	"1.0141414141"	"1.4362416107"	"0.79881656805"	"0.75"	"1.4406779661"	"0.49382716049"	"0.86666666667"	"1.2"	"0.92424242424"	"0.98666666667"	"0.73333333333"	"0.88837209302"	"0.73366834171"	"1.3571428571"	"0.8275862069"	"0.68656716418"	"0.87074829932"	"0.8829787234"	"0.84745762712"	"0.86282871357"	"0.07716"	"1.55"	"0.59"	"0.37"
"CTDEP_13833"	"CTDEP_23"	"CT DEP"	-72.96	41.78	200.00	32.00	22.00	19.00	5.00	62.50	4.00	1.00	0.00	0.00	2.00	4.50	0.59	12.00	5.70	13.00	14.00	8.20	6.80	4.40	4.40	5.10	6.70	4.10	6.65	14.00	1.70	1.83	2.21	4.72	6.10	155.00	69.00	53.71	31.07	19.11	0.00	0.18	201.00	347.00	4.00	2.50	32.00	2.00	3.00	-1.00	136.00	4.00	7.65	8.40	6.30	5.50	3.70	3.30	3.60	3.60	3.90	5.30	7.00				0.00	19.00	4.00	187.00	27.00	6.40	-4.36	"1.3289036545"	"1.804137931"	"0.9948542024"	"1.7763578275"	"1.7107843137"	"2.7341772152"	"1.027027027"	"1.9923371648"	"1.2727272727"	"0.76279069767"	"0.91891891892"	"1.2137931034"	"1.7959183673"	"2.9142857143"	"3.884057971"	"1.3225806452"	"1.2372093023"	"2.3140495868"	"2.2818791946"	"2.1438596491"	"2.3166265565"	"3.2178352621"	"2.4615074567"	"1.1313868613"	"0.88837388953"	"1.0680055677"	"1.2222659323"	"1.0982758621"	"0.80885311871"	"4.5064935065"	"2.1818181818"	"1.6666666667"	"0.89887640449"	"1.59375"	"1.2923076923"	"0.86301369863"	"0.9649122807"	"1.1044776119"	"1.4042553191"	"2"	"1.8461538462"	"1.4444444444"	"1.3086419753"	"1.2727272727"	"NA"	"1.1176470588"	"0.86626962642"	"1.1461942257"	"0.1007"	"1.77"	"0.66"	"0.42"
"CTDEP_13860"	"CTDEP_336"	"CT DEP"	-73.03	41.96	226.00	32.00	23.00	23.00	17.00	83.62	0.00	0.00	1.00	6.63	2.00	7.96	0.38	250.10	140.00	365.00	376.00	194.50	105.00	124.00	79.00	78.00	156.50	57.00	173.00	325.00	20.00	22.67	24.43	84.93	125.40	2190.00	1503.00	1122.00	654.80	450.00	0.00	0.09	246.00	347.00	9.00	2.00	22.00	3.00	45.00	-21.00	124.00	107.50		195.50	81.50	82.00	83.00	51.00	44.50	55.00	53.00	115.00	135.00				0.00	381.00	6.00	206.00	19.00	138.00	-52.25	"1.4003359462"	"2.1184277693"	"1.1531239331"	"2.0853432282"	"1.5395339574"	"3.274151436"	"1.1666666667"	"2.7279521674"	"1.7090909091"	"0.84272097054"	"0.77777777778"	"1.6156351792"	"2.4307692308"	"3.0588235294"	"4.1456953642"	"0.69938650307"	"1.3125948407"	"2.3550724638"	"2.4096385542"	"2.1861137898"	"2.0106995885"	"4.0500715308"	"3.3104540655"	"1.0115473441"	"1.0100806452"	"1.0417827298"	"1.1909785377"	"1.2968299712"	"1.0336134454"	"2.2387096774"	"2.1428571429"	"1.6153846154"	"1.0969387755"	"NA"	"1.5985282093"	"0.60685033507"	"0.85863874346"	"1.3719008264"	"1.5223880597"	"1.4590163934"	"1.25"	"0.81853281853"	"1.1219512195"	"1.2385321101"	"NA"	"1.2990112513"	"1.4257671247"	"1.0924106209"	"0.07218"	"1.41"	"0.63"	"0.39"
