"Entity"	"Bio_StationID"	"BenSampID"	"Bio_CollDate"	"Bio_Year"	"Bio_Month"	"CollMeth"	"Regional_FinalID"	"OTU"	"Exclude"	"SumOfIndivids"	"TotalInd"	"RelAbund"
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Acroneuria"	"Acroneuria"	0	5.00	267.00	1.87
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Antocha"	"Antocha"	0	5.00	267.00	1.87
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Apatania"	"Apatania"	0	3.00	267.00	1.12
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche"	"Ceratopsyche/Hydropsyche"	0	26.00	267.00	35.20
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche bronta"	"Ceratopsyche/Hydropsyche"	0	31.00	267.00	35.20
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche morosa"	"Ceratopsyche/Hydropsyche"	0	14.00	267.00	35.20
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche sparna"	"Ceratopsyche/Hydropsyche"	0	6.00	267.00	35.20
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Cheumatopsyche"	"Cheumatopsyche"	0	8.00	267.00	2.99
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Chimarra"	"Chimarra"	0	1.00	267.00	6.36
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Chimarra aterrima"	"Chimarra"	0	16.00	267.00	6.36
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Ephemerella"	"Ephemerella"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Eurylophella funeralis"	"Eurylophella"	0	3.00	267.00	1.12
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Glossosoma"	"Glossosoma"	0	6.00	267.00	2.24
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Hydropsyche"	"Ceratopsyche/Hydropsyche"	0	11.00	267.00	35.20
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Hydropsyche betteni"	"Ceratopsyche/Hydropsyche"	0	6.00	267.00	35.20
